RandomNumber1,RandomNumber2
42,82
5,7
10,96
73,6
19,25
38,15
83,30
7,51
37,12
21,26
4,57
10,22
66,14
97,13
86,63
40,61
99,26
99,90
93,24
98,4
23,30
58,3
51,17
38,42
52,5
100,0
70,46
79,1
61,68
95,78
37,50
84,96
52,85
65,81
29,55
80,5
86,20
5,42
94,53
73,16
63,71
32,92
53,8
81,41
90,11
87,38
9,68
50,84
29,36
14,100
29,82
60,99
13,48
13,19
99,97
85,58
27,60
75,88
35,18
30,51
42,7
76,14
89,24
47,42
69,46
68,96
49,36
6,92
93,75
63,74
21,42
34,49
29,58
5,68
70,30
19,31
43,43
70,88
79,8
20,13
100,28
55,41
34,71
98,28
37,85
69,57
76,100
6,30
8,41
18,44
95,69
58,61
56,50
12,59
19,92
34,97
87,91
11,82
54,26
93,71
